Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
37,Oil & Natural Gas Corporation Limited,ONGC+CC2:C29,P&F | F.A,5.01%,322.5,"51,435,537"
2,Abbott India Limited,ABBOTINDIA,P&F | F.A,4.09%,28596.8,"30,368"
30,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,4.04%,539.75,"9,379,442"
47,Canara Bank,CANBK,P&F | F.A,4.02%,117.25,"49,372,062"
41,Gail (india) Limited,GAIL,P&F | F.A,3.69%,237.16,"32,695,974"
48,Idea Cellular Limited,IDEA,P&F | F.A,3.67%,16.68,"544,664,305"
24,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,3.62%,1374.85,"6,364,673"
8,Alkem Laboratories Limited,ALKEM,P&F | F.A,3.56%,5383.7,"698,631"
10,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,3.54%,3904.85,"657,168"
5,Oracle Financial Services Software Limited,OFSS,P&F | F.A,3.47%,10922.75,"813,652"
38,The India Cements Limited,INDIACEM,P&F | F.A,3.21%,307.4,"15,422,257"
35,Petronet Lng Limited,PETRONET,P&F | F.A,3.20%,349.9,"6,509,446"
40,Bank Of Baroda,BANKBARODA,P&F | F.A,3.17%,258.55,"29,164,529"
16,Shriram Finance Ltd,SHRIRAMFIN,P&F | F.A,3.15%,2882.3,"1,480,043"
28,Lic Housing Finance Limited,LICHSGFIN,P&F | F.A,3.03%,803.3,"3,307,875"
15,Indiamart Intermesh Ltd,INDIAMART,P&F | F.A,2.94%,2894.75,"881,339"
46,Punjab National Bank,PNB,P&F | F.A,2.71%,120.93,"32,712,545"
43,Motherson Sumi Systems Limited,MOTHERSON,P&F | F.A,2.42%,201.58,"14,099,312"
34,Biocon Limited,BIOCON,P&F | F.A,2.39%,359.15,"4,074,238"
22,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,P&F | F.A,2.38%,1413.5,"1,077,931"
33,Ntpc Limited,NTPC,P&F | F.A,2.25%,385.65,"22,951,140"
3,Dixon Technologies,DIXON,P&F | F.A,2.17%,12679.6,"208,967"
32,Vedanta Limited,VEDL,P&F | F.A,2.17%,459.45,"10,391,508"
12,Colgate Palmolive (india) Limited,COLPAL,P&F | F.A,2.06%,3097.3,"470,616"
4,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,1.99%,11833.65,"394,470"
44,L&T Finance Ltd,LTF,P&F | F.A,1.97%,185.85,"7,480,546"
21,Lupin Limited,LUPIN,P&F | F.A,1.95%,1832.75,"1,242,019"
25,Max Financial Services Limited,MFSL,P&F | F.A,1.94%,1038.05,"1,183,665"
23,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,1.93%,1408.15,"887,309"
42,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,1.76%,228.2,"11,695,271"
39,Mahindra & Mahindra Financial Services Limited,M&MFIN,P&F | F.A,1.63%,303.05,"4,150,259"
45,Indian Oil Corporation Limited,IOC,P&F | F.A,1.59%,169.7,"32,915,517"
14,Dr. Lal Path Labs Ltd.,LALPATHLAB,P&F | F.A,1.56%,2996.85,"424,835"
36,Aditya Birla Fashion And Retail Limited,ABFRL,P&F | F.A,1.50%,328.05,"6,170,022"
31,Indraprastha Gas Limited,IGL,P&F | F.A,1.48%,533.3,"2,486,355"
27,Dlf Limited,DLF,P&F | F.A,1.41%,833.3,"1,494,904"
6,Polycab India Ltd,POLYCAB,P&F | F.A,1.32%,6667.85,"423,404"
9,Interglobe Aviation Limited,INDIGO,P&F | F.A,1.25%,4385.85,"1,596,638"
1,Mrf Limited,MRF,P&F | F.A,1.21%,131261.84,"16,952"
29,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,1.14%,684.2,"2,184,021"
7,Hero Motocorp Limited,HEROMOTOCO,P&F | F.A,1.07%,5606.35,"249,438"
17,Mahindra & Mahindra Limited,M&M,P&F | F.A,1%,2731.05,"2,017,720"
18,Metropolis Healthcare Ltd,METROPOLIS,P&F | F.A,0.98%,2073.75,"402,542"
13,Adani Enterprises Limited,ADANIENT,P&F | F.A,0.81%,3090.4,"724,174"
26,Tata Motors Limited,TATAMOTORS,P&F | F.A,0.76%,1024.45,"5,847,333"
11,Pidilite Industries Limited,PIDILITIND,P&F | F.A,0.74%,3171,"256,068"
20,Tata Communications Limited,TATACOMM,P&F | F.A,0.63%,1871.15,"183,187"
19,ICICI Lombard General Insurance Company Ltd,ICICIGI,P&F | F.A,0.61%,1876.7,"181,341"
