FIRSTCALL,Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
SELL,2024-02-07 09:47,2024-02-07 11:32,TARGET,45907.45,45762.9,144.55
BUY,2024-02-08 10:05,2024-02-08 10:44,STOPLOSS,46133.5,45864.05,-269.45
BUY,2024-02-09 10:07,2024-02-09 14:42,TARGET,45264.85,45684.55,419.7
SELL,2024-02-12 09:46,2024-02-12 10:24,TARGET,45508.5,45287.45,221.05
BUY,2024-02-13 09:55,2024-02-13 13:39,TARGET,45185.6,45610.05,424.45
BUY,2024-02-14 09:52,2024-02-14 10:57,TARGET,45181.85,45397.55,215.7
BUY,2024-02-15 13:40,2024-02-15 15:15,EXIT_3_15,46166.05,46211.6,45.55
SELL,2024-02-16 09:46,2024-02-16 10:08,STOPLOSS,46313.45,46449.75,-136.3
SELL,2024-02-19 09:50,2024-02-19 10:59,STOPLOSS,46407.6,46548.5,-140.9
BUY,2024-02-20 10:09,2024-02-20 10:15,TARGET,46752.05,46873.05,121.0
SELL,2024-02-21 10:19,2024-02-21 12:55,STOPLOSS,47110.6,47286.65,-176.05
SELL,2024-02-22 09:57,2024-02-22 10:04,TARGET,46871.0,46643.05,227.95
BUY,2024-02-23 10:14,2024-02-23 13:26,STOPLOSS,47143.55,46767.75,-375.8
SELL,2024-02-26 09:58,2024-02-26 15:15,EXIT_3_15,46616.15,46578.75,37.4
SELL,2024-02-27 10:07,2024-02-27 12:50,STOPLOSS,46436.4,46559.4,-123.0
SELL,2024-02-28 09:59,2024-02-28 10:08,STOPLOSS,46603.5,46667.35,-63.85
BUY,2024-02-29 09:54,2024-02-29 13:50,TARGET,46029.15,46161.25,132.1
BUY,2024-03-01 10:13,2024-03-01 12:46,TARGET,46598.45,47053.8,455.35
SELL,2024-03-04 09:49,2024-03-04 10:06,STOPLOSS,47307.2,47424.35,-117.15
BUY,2024-03-05 11:00,2024-03-05 12:51,TARGET,47391.2,47573.0,181.8
BUY,2024-03-06 09:52,2024-03-06 15:15,EXIT_3_15,47962.95,47952.05,-10.9
SELL,2024-03-07 09:54,2024-03-07 15:15,EXIT_3_15,47878.7,47854.2,24.5
SELL,2024-03-11 09:59,2024-03-11 11:25,TARGET,47667.65,47524.2,143.45
BUY,2024-03-12 09:59,2024-03-12 10:47,STOPLOSS,47741.7,46929.0,-812.7
SELL,2024-03-13 09:53,2024-03-13 10:15,STOPLOSS,47307.95,47426.0,-118.05
BUY,2024-03-14 10:40,2024-03-14 11:15,TARGET,46902.1,47065.35,163.25
SELL,2024-03-15 09:50,2024-03-15 15:15,EXIT_3_15,46515.35,46573.95,-58.6
SELL,2024-03-18 09:48,2024-03-18 11:15,TARGET,46456.8,46200.7,256.1
SELL,2024-03-19 10:07,2024-03-19 14:16,TARGET,46438.75,46280.55,158.2
SELL,2024-03-20 10:02,2024-03-20 10:14,TARGET,46318.9,46140.4,178.5
BUY,2024-03-21 10:06,2024-03-21 10:14,TARGET,46858.65,46971.15,112.5
BUY,2024-03-22 10:16,2024-03-22 15:15,EXIT_3_15,46875.05,46845.3,-29.75
SELL,2024-03-26 14:39,2024-03-26 15:15,EXIT_3_15,46567.85,46605.2,-37.35
BUY,2024-03-27 10:02,2024-03-27 15:15,EXIT_3_15,46834.8,46830.75,-4.05
BUY,2024-03-28 09:49,2024-03-28 14:08,TARGET,47156.15,47390.2,234.05
BUY,2024-04-03 10:13,2024-04-03 12:13,TARGET,47462.0,47594.05,132.05
SELL,2024-04-04 09:53,2024-04-04 15:15,EXIT_3_15,47946.2,48060.6,-114.4
BUY,2024-04-05 10:24,2024-04-05 11:20,TARGET,48107.95,48252.75,144.8
BUY,2024-04-08 12:36,2024-04-08 15:15,EXIT_3_15,48629.55,48602.75,-26.8
BUY,2024-04-09 10:03,2024-04-09 12:02,TARGET,48819.6,48945.65,126.05
BUY,2024-04-10 10:46,2024-04-10 15:15,EXIT_3_15,48925.6,48995.75,70.15
SELL,2024-04-12 10:17,2024-04-12 15:15,EXIT_3_15,48666.75,48572.0,94.75
SELL,2024-04-15 14:28,2024-04-15 15:15,EXIT_3_15,47914.35,47807.3,107.05
BUY,2024-04-16 10:08,2024-04-16 15:15,EXIT_3_15,47538.65,47528.85,-9.8
SELL,2024-04-18 09:46,2024-04-18 13:28,TARGET,47604.6,47349.0,255.6
BUY,2024-04-19 09:48,2024-04-19 11:44,TARGET,46927.65,47041.7,114.05
SELL,2024-04-22 09:46,2024-04-22 14:43,STOPLOSS,47719.0,47935.55,-216.55
SELL,2024-04-23 09:46,2024-04-23 15:15,EXIT_3_15,47998.95,48006.95,-8.0
BUY,2024-04-24 09:52,2024-04-24 10:20,TARGET,48171.15,48218.2,47.05
BUY,2024-04-25 10:03,2024-04-25 15:15,EXIT_3_15,48189.6,48480.95,291.35
SELL,2024-04-26 10:07,2024-04-26 13:32,TARGET,48468.55,48295.0,173.55
BUY,2024-04-29 10:17,2024-04-29 10:34,TARGET,48616.95,48766.65,149.7
BUY,2024-04-30 09:53,2024-04-30 09:59,TARGET,49523.35,49624.35,101.0
BUY,2024-05-02 10:10,2024-05-02 15:15,EXIT_3_15,49523.05,49242.5,-280.55
SELL,2024-05-03 10:05,2024-05-03 10:22,TARGET,49401.2,49196.15,205.05
SELL,2024-05-06 13:29,2024-05-06 15:15,EXIT_3_15,48892.3,48903.1,-10.8
SELL,2024-05-07 09:49,2024-05-07 10:00,TARGET,48859.35,48645.45,213.9
SELL,2024-05-09 10:20,2024-05-09 11:20,TARGET,47977.15,47743.7,233.45
BUY,2024-05-10 09:54,2024-05-10 15:15,EXIT_3_15,47683.8,47433.0,-250.8
SELL,2024-05-13 09:56,2024-05-13 11:37,STOPLOSS,47110.4,47306.2,-195.8
SELL,2024-05-15 10:00,2024-05-15 10:09,TARGET,47832.15,47696.1,136.05
SELL,2024-05-16 10:20,2024-05-16 10:50,TARGET,47754.7,47535.2,219.5
BUY,2024-05-17 10:04,2024-05-17 11:14,TARGET,47988.85,48137.75,148.9
