FIRSTCALL,Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
SELL,2023-08-03 10:13,2023-08-03 12:24,TARGET,44794.55,44653.3,141.25
SELL,2023-08-04 09:45,2023-08-04 11:18,STOPLOSS,44533.3,44898.95,-365.65
SELL,2023-08-10 10:26,2023-08-10 10:35,TARGET,44667.2,44514.1,153.1
SELL,2023-08-30 11:22,2023-08-30 14:22,TARGET,44635.2,44499.95,135.25
SELL,2023-08-31 10:37,2023-08-31 13:11,TARGET,44061.55,43937.8,123.75
SELL,2023-09-01 09:51,2023-09-01 12:40,STOPLOSS,43928.9,44182.3,-253.4
SELL,2023-09-06 11:23,2023-09-06 12:39,TARGET,44428.85,44293.15,135.7
SELL,2023-09-12 09:48,2023-09-12 09:51,TARGET,45626.9,45486.6,140.3
SELL,2023-09-14 10:02,2023-09-14 10:21,TARGET,45949.8,45836.3,113.5
SELL,2023-09-20 11:04,2023-09-20 13:31,TARGET,45455.7,45326.2,129.5
SELL,2023-09-21 10:09,2023-09-21 12:09,TARGET,45057.95,44919.5,138.45
SELL,2023-09-25 10:06,2023-09-25 12:34,STOPLOSS,44476.4,44808.15,-331.75
SELL,2023-09-27 09:58,2023-09-27 10:01,TARGET,44377.05,44270.95,106.1
SELL,2023-09-28 11:09,2023-09-28 13:27,TARGET,44491.55,44381.75,109.8
BUY,2023-09-29 10:16,2023-09-29 11:42,TARGET,44606.35,44652.05,45.7
SELL,2023-10-18 09:48,2023-10-18 10:46,TARGET,44264.05,44073.15,190.9
SELL,2023-10-23 10:12,2023-10-23 14:32,TARGET,43687.85,43545.15,142.7
SELL,2023-10-25 11:35,2023-10-25 12:43,TARGET,43148.0,43019.55,128.45
SELL,2023-10-26 10:13,2023-10-26 11:11,TARGET,42392.85,42250.2,142.65
SELL,2023-10-31 10:23,2023-10-31 15:02,TARGET,42966.45,42843.35,123.1
SELL,2023-11-02 11:42,2023-11-02 11:49,TARGET,42955.15,42803.1,152.05
SELL,2023-11-07 10:04,2023-11-07 15:05,STOPLOSS,43391.0,43724.95,-333.95
BUY,2023-11-10 10:48,2023-11-10 12:45,TARGET,43714.35,43759.0,44.65
SELL,2023-11-22 10:26,2023-11-22 11:48,TARGET,43530.75,43396.05,134.7
SELL,2023-11-24 09:52,2023-11-24 15:10,STOPLOSS,43576.55,43771.55,-195.0
SELL,2023-11-30 09:47,2023-11-30 09:53,TARGET,44541.25,44424.15,117.1
SELL,2023-12-12 09:45,2023-12-12 10:17,TARGET,47331.65,47193.9,137.75
SELL,2023-12-15 09:54,2023-12-15 15:01,STOPLOSS,47671.2,48150.7,-479.5
SELL,2023-12-20 10:03,2023-12-20 13:19,TARGET,47985.35,47854.4,130.95
SELL,2023-12-22 13:39,2023-12-22 13:43,TARGET,47634.0,47520.65,113.35
SELL,2023-12-26 09:51,2023-12-26 10:51,STOPLOSS,47431.85,47745.45,-313.6
SELL,2023-12-29 10:07,2023-12-29 14:14,TARGET,48250.8,48108.8,142.0
SELL,2024-01-02 09:56,2024-01-02 10:00,TARGET,47972.95,47915.5,57.45
SELL,2024-01-05 10:42,2024-01-05 11:17,TARGET,48220.2,48064.05,156.15
SELL,2024-01-08 10:19,2024-01-08 11:52,TARGET,47937.05,47794.15,142.9
SELL,2024-01-09 14:17,2024-01-09 14:20,TARGET,47582.2,47423.45,158.75
SELL,2024-01-11 10:54,2024-01-11 14:12,TARGET,47444.85,47277.15,167.7
SELL,2024-01-17 11:40,2024-01-17 11:43,TARGET,46504.6,46345.85,158.75
SELL,2024-01-19 11:06,2024-01-19 12:10,TARGET,46007.65,45868.8,138.85
SELL,2024-01-23 09:49,2024-01-23 09:57,TARGET,46195.4,46019.75,175.65
BUY,2024-01-24 09:47,2024-01-24 09:58,TARGET,45314.75,45331.8,17.05
SELL,2024-01-25 09:45,2024-01-25 10:17,TARGET,44853.25,44714.8,138.45
SELL,2024-02-02 10:39,2024-02-02 11:37,STOPLOSS,46482.7,46821.85,-339.15
SELL,2024-02-07 10:02,2024-02-07 11:32,TARGET,45880.45,45730.45,150.0
SELL,2024-02-08 10:15,2024-02-08 10:57,TARGET,45922.5,45730.05,192.45
SELL,2024-02-12 09:46,2024-02-12 10:21,TARGET,45458.4,45304.3,154.1
SELL,2024-02-16 09:47,2024-02-16 13:46,STOPLOSS,46278.7,46607.8,-329.1
SELL,2024-02-21 10:19,2024-02-21 10:45,TARGET,47043.0,46925.9,117.1
SELL,2024-02-22 09:57,2024-02-22 10:00,TARGET,46780.85,46643.8,137.05
SELL,2024-02-23 10:31,2024-02-23 13:25,TARGET,46910.9,46767.8,143.1
SELL,2024-02-27 10:13,2024-02-27 13:32,STOPLOSS,46393.45,46708.3,-314.85
SELL,2024-02-28 10:51,2024-02-28 10:57,TARGET,46479.7,46299.5,180.2
SELL,2024-02-29 10:09,2024-02-29 13:16,STOPLOSS,45722.5,46131.5,-409.0
BUY,2024-03-01 11:12,2024-03-01 11:21,TARGET,46717.8,46750.0,32.2
SELL,2024-03-11 10:00,2024-03-11 11:25,TARGET,47627.65,47489.8,137.85
SELL,2024-03-12 10:45,2024-03-12 10:46,TARGET,47116.35,46942.95,173.4
SELL,2024-03-13 09:54,2024-03-13 11:25,TARGET,47270.6,47109.4,161.2
SELL,2024-03-15 09:50,2024-03-15 11:09,TARGET,46458.4,46326.85,131.55
SELL,2024-03-18 09:48,2024-03-18 11:14,TARGET,46383.35,46209.8,173.55
SELL,2024-03-20 10:02,2024-03-20 10:13,TARGET,46258.55,46142.7,115.85
SELL,2024-04-04 09:53,2024-04-04 10:14,TARGET,47892.6,47777.95,114.65
SELL,2024-04-18 09:47,2024-04-18 13:27,TARGET,47534.95,47349.3,185.65
SELL,2024-04-26 10:07,2024-04-26 13:31,TARGET,48440.5,48301.5,139.0
SELL,2024-05-03 10:05,2024-05-03 10:21,TARGET,49327.6,49204.75,122.85
SELL,2024-05-07 09:49,2024-05-07 09:59,TARGET,48761.3,48650.6,110.7
SELL,2024-05-09 10:21,2024-05-09 11:05,TARGET,47882.85,47787.4,95.45
SELL,2024-05-13 09:56,2024-05-13 13:54,STOPLOSS,47072.3,47668.45,-596.15
SELL,2024-05-15 10:00,2024-05-15 11:29,TARGET,47786.35,47620.35,166.0
SELL,2024-05-16 10:20,2024-05-16 10:47,TARGET,47730.5,47596.05,134.45
SELL,2024-05-22 09:46,2024-05-22 11:03,TARGET,47787.9,47649.0,138.9
SELL,2024-05-28 09:53,2024-05-28 12:20,TARGET,49259.1,49147.8,111.3
SELL,2024-05-29 10:04,2024-05-29 10:33,TARGET,48730.1,48609.15,120.95
SELL,2024-05-31 09:59,2024-05-31 10:14,TARGET,48857.65,48719.5,138.15
SELL,2024-06-04 10:46,2024-06-04 10:55,TARGET,48661.25,48400.15,261.1
SELL,2024-06-05 09:51,2024-06-05 09:56,TARGET,46711.0,46599.5,111.5
BUY,2024-06-12 09:54,2024-06-12 09:57,TARGET,49994.35,50046.6,52.25
SELL,2024-06-13 09:47,2024-06-13 15:02,TARGET,49934.15,49813.0,121.15
SELL,2024-06-20 09:48,2024-06-20 09:56,TARGET,51475.95,51317.7,158.25
SELL,2024-06-21 10:14,2024-06-21 10:48,TARGET,51500.3,51359.9,140.4
SELL,2024-06-26 09:45,2024-06-26 11:29,STOPLOSS,52403.1,52821.95,-418.85
SELL,2024-06-28 11:18,2024-06-28 12:21,TARGET,52751.15,52588.0,163.15
SELL,2024-07-02 09:45,2024-07-02 12:46,TARGET,52168.45,52040.3,128.15
BUY,2024-07-03 10:31,2024-07-03 15:15,EXIT_3_15,53252.05,53100.65,-2.7
SELL,2024-07-04 10:27,2024-07-04 10:39,TARGET,53019.35,52898.05,121.3
SELL,2024-07-11 10:16,2024-07-11 10:19,TARGET,52069.65,51950.65,119.0
SELL,2024-07-15 10:01,2024-07-15 13:20,STOPLOSS,52202.55,52565.3,-362.75
BUY,2024-07-18 09:49,2024-07-18 09:50,TARGET,52587.25,52582.6,-4.65
SELL,2024-07-19 10:56,2024-07-19 11:00,TARGET,52284.9,52156.4,128.5
SELL,2024-07-23 11:53,2024-07-23 12:19,TARGET,52074.65,51889.3,185.35
SELL,2024-07-24 10:28,2024-07-24 10:57,TARGET,51442.85,51320.3,122.55
SELL,2024-07-29 12:18,2024-07-29 14:19,TARGET,51382.75,51276.8,105.95
SELL,2024-08-01 12:28,2024-08-01 14:25,TARGET,51613.85,51480.85,133.0
