Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
2024-01-24 12:57,2024-01-24 14:33,TARGET,21298.55,21397.1,104.14999999999782
2024-01-25 15:03,2024-01-25 15:15,EXIT_3_15,21338.7,21343.3,34.95000000000073
2024-01-31 15:03,2024-01-31 15:15,EXIT_3_15,21736.15,21727.65,0.4000000000014552
2024-02-01 12:45,2024-02-01 13:30,STOPLOSS,21756.75,21687.8,-59.60000000000218
2024-02-05 13:06,2024-02-05 14:09,STOPLOSS,21952.5,21877.45,-62.95000000000073
2024-02-06 13:30,2024-02-06 15:15,EXIT_3_15,21929.6,21919.45,2.900000000001455
2024-02-07 13:39,2024-02-07 15:15,EXIT_3_15,21948.0,21933.55,6.349999999998545
2024-02-08 13:15,2024-02-08 14:03,STOPLOSS,21814.55,21737.9,-70.44999999999709
2024-02-09 14:18,2024-02-09 15:15,EXIT_3_15,21779.4,21782.8,16.299999999999272
2024-02-12 14:12,2024-02-12 14:24,STOPLOSS,21691.55,21633.6,-47.10000000000218
2024-02-13 12:57,2024-02-13 14:03,TARGET,21690.4,21761.2,88.35000000000218
2024-02-14 13:00,2024-02-14 14:30,TARGET,21691.95,21773.2,91.65000000000146
2024-02-15 13:33,2024-02-15 13:39,TARGET,21876.1,21937.3,62.54999999999927
2024-02-16 12:54,2024-02-16 15:15,EXIT_3_15,22062.6,22036.4,-12.549999999999272
2024-02-19 13:51,2024-02-19 14:57,STOPLOSS,22171.65,22129.0,-37.95000000000073
2024-02-20 12:54,2024-02-20 13:12,STOPLOSS,22167.1,22145.05,-19.950000000000728
2024-02-21 12:54,2024-02-21 13:21,STOPLOSS,22238.1,22205.15,-24.099999999998545
2024-02-22 13:36,2024-02-22 13:51,TARGET,21995.7,22058.75,80.54999999999927
2024-02-23 12:54,2024-02-23 13:24,STOPLOSS,22269.8,22212.65,-51.599999999998545
2024-03-01 13:27,2024-03-01 15:15,EXIT_3_15,22316.4,22329.1,16.94999999999709
2024-03-04 14:12,2024-03-04 15:15,EXIT_3_15,22430.7,22404.45,-22.149999999997817
2024-03-05 12:48,2024-03-05 12:54,TARGET,22352.8,22395.4,53.0
2024-03-06 13:39,2024-03-06 14:30,TARGET,22329.65,22436.85,135.59999999999854
2024-03-07 12:48,2024-03-07 15:15,EXIT_3_15,22504.1,22500.75,2.25
2024-03-11 13:30,2024-03-11 14:18,STOPLOSS,22426.05,22362.6,-58.95000000000073
2024-03-12 13:27,2024-03-12 14:18,STOPLOSS,22391.45,22357.6,-28.350000000002183
2024-03-13 12:57,2024-03-13 13:48,STOPLOSS,22124.1,22038.7,-74.34999999999854
2024-03-15 12:48,2024-03-15 13:33,TARGET,21969.1,22001.65,38.10000000000218
2024-03-26 12:51,2024-03-26 14:33,STOPLOSS,22064.35,22024.2,-34.20000000000073
2024-03-27 13:39,2024-03-27 15:00,STOPLOSS,22179.5,22117.55,-57.650000000001455
2024-03-28 13:30,2024-03-28 15:06,STOPLOSS,22425.05,22318.8,-104.29999999999927
2024-04-04 12:45,2024-04-04 15:15,EXIT_3_15,22484.5,22507.25,34.75
2024-04-05 14:00,2024-04-05 15:15,EXIT_3_15,22519.25,22515.45,3.600000000002183
2024-04-08 12:57,2024-04-08 13:27,STOPLOSS,22683.9,22639.8,-38.45000000000073
2024-04-10 13:09,2024-04-10 13:42,TARGET,22716.75,22743.0,35.400000000001455
2024-04-19 12:48,2024-04-19 14:06,TARGET,22039.1,22174.0,145.5
2024-04-25 12:57,2024-04-25 13:48,TARGET,22439.5,22518.95,106.45000000000073
2024-04-29 12:57,2024-04-29 13:33,TARGET,22574.65,22603.8,31.549999999999272
2024-04-30 14:00,2024-04-30 14:48,STOPLOSS,22770.65,22714.95,-41.14999999999782
