FIRSTCALL,Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
SELL,2024-02-08 09:50,2024-02-08 10:12,TARGET,21959.55,21923.15,36.4
SELL,2024-02-09 10:00,2024-02-09 10:15,STOPLOSS,21678.25,21750.7,-72.45
SELL,2024-02-12 09:46,2024-02-12 10:24,TARGET,21748.25,21661.4,86.85
BUY,2024-02-13 10:06,2024-02-13 15:15,EXIT_3_15,21679.05,21752.25,73.2
BUY,2024-02-14 09:56,2024-02-14 12:29,TARGET,21603.35,21655.9,52.55
SELL,2024-02-15 09:55,2024-02-15 10:16,STOPLOSS,21842.2,21893.2,-51.0
SELL,2024-02-16 09:47,2024-02-16 10:04,STOPLOSS,21983.3,22016.3,-33.0
SELL,2024-02-19 09:50,2024-02-19 10:24,STOPLOSS,22060.65,22093.8,-33.15
BUY,2024-02-20 10:19,2024-02-20 12:10,TARGET,22123.05,22173.15,50.1
SELL,2024-02-21 10:27,2024-02-21 12:55,STOPLOSS,22204.9,22235.95,-31.05
SELL,2024-02-22 09:59,2024-02-22 13:50,STOPLOSS,21973.2,22037.75,-64.55
SELL,2024-02-23 10:31,2024-02-23 15:15,EXIT_3_15,22233.65,22205.65,28.0
SELL,2024-02-26 09:52,2024-02-26 11:43,TARGET,22146.35,22097.45,48.9
BUY,2024-02-27 09:50,2024-02-27 12:50,TARGET,22143.35,22183.7,40.35
SELL,2024-02-28 09:57,2024-02-28 10:08,STOPLOSS,22184.55,22223.55,-39.0
BUY,2024-02-29 09:56,2024-02-29 15:15,EXIT_3_15,22002.85,22012.55,9.7
BUY,2024-03-01 09:53,2024-03-01 11:38,TARGET,22168.55,22278.45,109.9
SELL,2024-03-04 09:49,2024-03-04 10:32,STOPLOSS,22364.4,22420.4,-56.0
SELL,2024-03-05 10:16,2024-03-05 12:54,STOPLOSS,22326.0,22385.25,-59.25
SELL,2024-03-06 09:59,2024-03-06 10:19,STOPLOSS,22290.05,22349.5,-59.45
SELL,2024-03-07 10:44,2024-03-07 11:05,STOPLOSS,22468.3,22505.25,-36.95
SELL,2024-03-11 10:00,2024-03-11 11:26,TARGET,22464.95,22401.6,63.35
