FIRSTCALL,Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
BUY,2023-09-01 12:40,2023-09-01 15:15,EXIT_3_15,19369.5,19435.0,116.55
SELL,2023-09-28 09:58,2023-09-28 14:45,TARGET,19677.7,19534.85,142.85
SELL,2023-10-23 10:09,2023-10-23 14:55,TARGET,19510.3,19368.15,142.15
SELL,2023-10-25 11:27,2023-10-25 12:55,TARGET,19253.4,19105.85,147.55
BUY,2023-11-16 11:02,2023-11-16 14:40,TARGET,19750.7,19851.6,100.9
SELL,2023-12-20 11:47,2023-12-20 13:31,TARGET,21515.05,21374.1,140.95
SELL,2024-01-08 09:45,2024-01-08 15:13,TARGET,21650.15,21503.35,146.8
SELL,2024-01-23 09:58,2024-01-23 10:47,TARGET,21679.5,21532.55,146.95
BUY,2024-01-24 09:56,2024-01-24 14:59,TARGET,21343.4,21436.0,92.6
SELL,2024-01-30 10:50,2024-01-30 15:01,TARGET,21684.35,21513.5,170.85
SELL,2024-02-08 09:51,2024-02-08 11:02,TARGET,21951.7,21791.8,159.9
SELL,2024-02-12 09:46,2024-02-12 13:02,TARGET,21731.6,21583.75,147.85
SELL,2024-02-21 10:28,2024-02-21 14:39,TARGET,22178.9,22027.15,151.75
SELL,2024-02-22 09:59,2024-02-22 15:11,STOPLOSS,21948.75,22219.05,-270.3
SELL,2024-02-28 09:59,2024-02-28 11:00,TARGET,22175.8,22031.3,144.5
BUY,2024-03-01 11:21,2024-03-01 13:47,TARGET,22225.6,22319.2,93.6
SELL,2024-03-13 09:54,2024-03-13 11:31,TARGET,22298.05,22151.2,146.85
SELL,2024-04-18 10:15,2024-04-18 14:55,TARGET,22172.85,22026.55,146.3
SELL,2024-04-26 10:02,2024-04-26 13:49,TARGET,22566.8,22425.8,141.0
SELL,2024-04-29 09:49,2024-04-29 15:13,STOPLOSS,22460.15,22653.7,-193.55
SELL,2024-05-03 10:05,2024-05-03 10:40,TARGET,22717.55,22597.7,119.85
SELL,2024-05-07 09:49,2024-05-07 11:17,TARGET,22436.75,22281.2,155.55
SELL,2024-05-09 10:12,2024-05-09 12:51,TARGET,22203.95,22064.9,139.05
SELL,2024-05-16 10:01,2024-05-16 13:21,TARGET,22224.6,22084.1,140.5
SELL,2024-05-30 09:58,2024-05-30 14:58,TARGET,22582.35,22428.75,153.6
SELL,2024-06-04 10:55,2024-06-04 11:06,TARGET,22349.05,22222.05,127.0
SELL,2024-06-21 10:42,2024-06-21 13:08,TARGET,23556.75,23427.2,129.55
SELL,2024-06-25 11:19,2024-06-25 15:07,STOPLOSS,23564.45,23728.4,-163.95
SELL,2024-07-10 09:45,2024-07-10 10:27,TARGET,24371.9,24229.85,142.05
BUY,2024-07-18 09:49,2024-07-18 13:20,TARGET,24647.9,24736.55,88.65
SELL,2024-07-19 09:47,2024-07-19 14:11,TARGET,24714.75,24564.3,150.45
SELL,2024-07-23 10:03,2024-07-23 12:19,TARGET,24455.0,24283.2,171.8
