Entry Time,Exit Time,Trade Type,Entry,Exit,Profit
2024-06-21 14:03,2024-06-21 14:27,STOPLOSS,23585.7,23447.6,-98.75
2024-06-26 14:06,2024-06-26 15:15,EXIT_3_15,23864.75,23875.2,15.850000000002183
2024-06-27 12:51,2024-06-27 12:57,STOPLOSS,24036.6,23950.15,-65.0
2024-06-28 14:06,2024-06-28 15:00,STOPLOSS,24120.45,24030.25,-84.75
2024-07-08 12:57,2024-07-08 15:15,EXIT_3_15,24297.9,24311.5,19.349999999998545
2024-07-09 12:57,2024-07-09 15:03,TARGET,24408.25,24433.95,30.049999999999272
2024-07-10 12:51,2024-07-10 14:00,STOPLOSS,24291.75,24245.25,-41.849999999998545
2024-07-11 12:45,2024-07-11 14:57,TARGET,24290.95,24331.35,43.349999999998545
2024-07-12 13:15,2024-07-12 15:15,EXIT_3_15,24538.1,24491.15,-30.099999999998545
2024-07-15 13:09,2024-07-15 15:15,EXIT_3_15,24610.05,24584.5,-17.75
2024-07-16 12:45,2024-07-16 13:36,STOPLOSS,24653.35,24615.45,-33.89999999999782
2024-07-18 13:09,2024-07-18 14:12,TARGET,24701.6,24819.9,171.45000000000073
