"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"4","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","5.79%","3395.95","1,032,945"
"14","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","5.18%","454.6","3,775,960"
"15","Ntpc Limited","NTPC","P&F | F.A","4.39%","411.2","9,097,529"
"17","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","3.36%","353.85","5,938,707"
"9","Mahanagar Gas Limited","MGL","P&F | F.A","2.7%","1889.6","132,068"
"2","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","2.56%","4310","211,229"
"18","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","2.43%","346.1","4,313,376"
"3","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","2.41%","3657","44,000"
"7","Asian Paints Limited","ASIANPAINT","P&F | F.A","1.81%","3008.3","292,759"
"11","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","1.77%","680.3","451,078"
"5","Pidilite Industries Limited","PIDILITIND","P&F | F.A","1.6%","3202.3","68,224"
"6","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","1.58%","3126.65","26,600"
"12","AU Small Finance Bank","AUBANK","P&F | F.A","1.53%","660","382,606"
"8","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","1.48%","2751.75","210,778"
"1","Britannia Industries Limited","BRITANNIA","P&F | F.A","1.46%","5983.65","31,636"
"16","Petronet Lng Limited","PETRONET","P&F | F.A","1.25%","375.5","413,652"
"10","Tata Motors Limited","TATAMOTORS","P&F | F.A","1.1%","1136.35","1,910,445"
"13","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","1.08%","544.6","120,254"
