"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"9","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","4.91%","453.4","1,239,420"
"4","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","4.02%","3338.95","365,020"
"2","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","2.87%","4323.2","123,734"
"10","Ntpc Limited","NTPC","P&F | F.A","2.42%","403.45","2,078,237"
"3","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","1.66%","3630","9,187"
"11","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","1.49%","347.45","2,280,911"
"1","Britannia Industries Limited","BRITANNIA","P&F | F.A","1.37%","5978.45","15,048"
"6","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","1.31%","3118.6","6,583"
"7","Asian Paints Limited","ASIANPAINT","P&F | F.A","1.06%","2985.9","68,449"
"8","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","0.99%","2738.55","48,984"
"5","Pidilite Industries Limited","PIDILITIND","P&F | F.A","0.69%","3173.6","8,326"
