"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"35","Indian Energy Exchange Ltd","IEX","P&F | F.A","2.12%","192.86","1,436,607"
"8","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","1.62%","3313.7","4,889"
"26","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","1.6%","1238.85","32,477"
"5","Trent Limited","TRENT","P&F | F.A","1.59%","5709.75","29,963"
"9","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","1.48%","3137.35","8,897"
"25","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","1.16%","1449.3","16,883"
"30","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","1.09%","586.3","34,035"
"33","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","0.72%","320.6","197,422"
"15","Metropolis Healthcare Ltd","METROPOLIS","P&F | F.A","0.69%","2114.5","2,778"
"4","Polycab India Ltd","POLYCAB","P&F | F.A","0.65%","6725.35","23,405"
"10","Asian Paints Limited","ASIANPAINT","P&F | F.A","0.62%","3023.7","61,418"
"18","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","0.61%","1711.9","18,242"
"17","Lupin Limited","LUPIN","P&F | F.A","0.59%","1873.5","14,343"
"13","Srf Limited","SRF","P&F | F.A","0.58%","2567.1","39,994"
"28","Syngene International Limited","SYNGENE","P&F | F.A","0.55%","798.05","7,268"
"14","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","0.53%","2510","9,248"
"22","Tech Mahindra Limited","TECHM","P&F | F.A","0.51%","1545.85","146,244"
"16","Tata Communications Limited","TATACOMM","P&F | F.A","0.47%","1916.4","16,034"
"19","Coromandel International Limited","COROMANDEL","P&F | F.A","0.47%","1668.15","4,967"
"23","Cipla Limited","CIPLA","P&F | F.A","0.45%","1535.8","49,630"
"21","Voltas Limited","VOLTAS","P&F | F.A","0.44%","1546.5","21,363"
"32","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","0.44%","342.05","89,632"
"31","Indraprastha Gas Limited","IGL","P&F | F.A","0.42%","555.75","114,104"
"24","PVR Inox Ltd","PVRINOX","P&F | F.A","0.41%","1525","10,723"
"1","Mrf Limited","MRF","P&F | F.A","0.4%","140496","323"
"29","Aarti Industries Limited","AARTIIND","P&F | F.A","0.36%","745.45","73,192"
"27","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","0.34%","993","43,633"
"3","Abb India Limited","ABB","P&F | F.A","0.28%","7865.3","7,863"
"7","Escorts Limited","ESCORTS","P&F | F.A","0.19%","4165","2,361"
"6","LTI Mindtree Ltd","LTIM","P&F | F.A","0.13%","5680","10,629"
"34","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","0.09%","214.14","59,245"
"2","Bosch Limited","BOSCHLTD","P&F | F.A","0.04%","34938.35","290"
"12","Mphasis Limited","MPHASIS","P&F | F.A","-0.1%","2912.1","12,886"
"20","Hcl Technologies Limited","HCLTECH","P&F | F.A","-0.24%","1626.4","45,861"
"11","Reliance Industries Limited","RELIANCE","P&F | F.A","-0.53%","3010.2","640,652"
